mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.009589576721191406,0.0014563406249076356,0.0010762691497802734,0.00035434084613532497,10,sqrt,4,10,10,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 10}",,,,,,,,1,,,,,,,
0.016953754425048827,0.0004925908882086075,0.001315164566040039,3.3058057886539916e-05,10,sqrt,4,10,20,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 20}",,,,,,,,1,,,,,,,
0.039447879791259764,0.00042348961709109777,0.002559947967529297,6.385887537391638e-05,10,sqrt,4,10,50,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",,,,,,,,1,,,,,,,
0.0784822940826416,0.0006249438346505773,0.004714250564575195,9.410994710035873e-05,10,sqrt,4,10,100,"{'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",,,,,,,,1,,,,,,,
0.009489822387695312,0.00014405229240788115,0.000996541976928711,5.043675025024806e-05,10,log2,1,2,10,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10}",,,,,,,,1,,,,,,,
0.01831851005554199,0.0003102169523603052,0.0014172077178955078,6.259537109313615e-05,10,log2,1,2,20,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}",,,,,,,,1,,,,,,,
0.044334030151367186,0.0004098418731199869,0.002899789810180664,0.00011961007456571787,10,log2,1,2,50,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",,,,,,,,1,,,,,,,
0.0927973747253418,0.0023691962518343325,0.005456733703613281,0.00026589174513610015,10,log2,1,2,100,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",,,,,,,,1,,,,,,,
0.009577560424804687,0.00016302639151581774,0.0009242057800292969,4.9427477914166554e-05,10,log2,1,5,10,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 10}",,,,,,,,1,,,,,,,
0.018164777755737306,0.0006842756535694027,0.001453256607055664,7.175735430259368e-05,10,log2,1,5,20,"{'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}",,,,,,,,1,,,,,,,
